Year of Film Release,Film,Film Studio/Producer(s),is_winner,clean_name
1943 (16th),The More the Merrier,Columbia,False,the-more-the-merrier-1943
1943 (16th),The Ox-Bow Incident,20th Century-Fox,False,the-ox-bow-incident-1943
1943 (16th),The Song of Bernadette,20th Century-Fox,False,the-song-of-bernadette-1943
1943 (16th),Watch on the Rhine,Warner Bros.,False,watch-on-the-rhine-1943
1944 (17th),Going My Way,"Paramount (Leo McCarey, producer)",True,going-my-way-1944
1944 (17th),Double Indemnity,Paramount,False,double-indemnity-1944
1944 (17th),Gaslight,Metro-Goldwyn-Mayer,False,gaslight-1944
1944 (17th),Since You Went Away,"Selznick International Pictures (David O. Selznick, producer)",False,since-you-went-away-1944
1944 (17th),Wilson,20th Century-Fox,False,wilson-1944
1945 (18th),The Lost Weekend,"Paramount (Charles Brackett, producer)",True,the-lost-weekend-1945
1945 (18th),Anchors Aweigh,Metro-Goldwyn-Mayer,False,anchors-aweigh-1945
1945 (18th),The Bells of St. Mary's,Rainbow Productions,False,the-bells-of-st-marys-1945
1945 (18th),Mildred Pierce,Warner Bros.,False,mildred-pierce-1945
1945 (18th),Spellbound,"Selznick International Pictures (David O. Selznick, producer)",False,spellbound-1945
1946 (19th),The Best Years of Our Lives,"Samuel Goldwyn Productions (Samuel Goldwyn, producer)",True,the-best-years-of-our-lives-1946
1946 (19th),Henry V,Two Cities Films,False,henry-v-1946
1946 (19th),It's a Wonderful Life,Liberty Films,False,its-a-wonderful-life-1946
